date,price
2017-08-17,1.0
2017-08-18,0.9587615633780466
2017-08-19,0.9661383218049604
2017-08-20,0.9536088007691805
2017-08-21,0.9372053730618798
2017-08-22,0.9428062019845604
2017-08-23,0.9600777581748766
2017-08-24,1.0072180682741045
2017-08-25,0.9989731813641753
2017-08-26,1.0122191417663147
2017-08-27,1.0058178610434345
2017-08-28,1.0237125094513988
2017-08-29,1.0705704444257749
2017-08-30,1.063023327452463
2017-08-31,1.102637523686839
2017-09-01,1.1283126569398938
2017-09-02,1.0436537940948594
2017-09-03,1.0522744032783518
2017-09-04,0.9568339447571573
2017-09-05,1.0189938110840404
2017-09-06,1.0781058930054983
2017-09-07,1.0948710409140552
2017-09-08,0.9994679212523454
2017-09-09,0.9938694260083827
2017-09-10,0.9638956565571705
2017-09-11,0.9821216873430602
2017-09-12,0.9716784750809787
2017-09-13,0.9205639101253652
2017-09-14,0.7442148104586146
2017-09-15,0.8634611255799192
2017-09-16,0.8669499752630055
2017-09-17,0.8634587919012013
2017-09-18,0.9416416963043864
2017-09-19,0.9124777133682451
2017-09-20,0.9101346999355905
2017-09-21,0.8424556834411493
2017-09-22,0.8391605290916389
2017-09-23,0.8821305553221876
2017-09-24,0.8541310780662205
2017-09-25,0.9149770832749914
2017-09-26,0.9060157569987025
2017-09-27,0.978511486366649
2017-09-28,0.9741941807387493
2017-09-29,0.9742385206343871
2017-09-30,1.021803560260252
2017-10-01,1.0217965592240985
2017-10-02,1.0221512783892017
2017-10-03,1.0058155273647167
2017-10-04,0.9821496914876736
2017-10-05,1.001715253857571
2017-10-06,1.0195842317996398
2017-10-07,1.0321860968756709
2017-10-08,1.0828269250515743
2017-10-09,1.1171203338094038
2017-10-10,1.116212532788186
2017-10-11,1.1251668580283216
2017-10-12,1.267187543756476
2017-10-13,1.3185238081902788
2017-10-14,1.369867073660235
2017-10-15,1.332528214175698
2017-10-16,1.3442036088007694
2017-10-17,1.3056932425999048
2017-10-18,1.286337711314608
2017-10-19,1.3264396464010006
2017-10-20,1.4025432430666407
2017-10-21,1.4060344264284448
2017-10-22,1.3885435044386572
2017-10-23,1.3805879936897327
2017-10-24,1.278162834766212
2017-10-25,1.3278608567401309
2017-10-26,1.367948789754217
2017-10-27,1.3462595797511365
2017-10-28,1.3347802141383593
2017-10-29,1.4398751015150242
2017-10-30,1.4283280592194312
2017-10-31,1.5082565553035183
2017-11-01,1.5761619386335843
2017-11-02,1.6382377925266272
2017-11-03,1.6604217424178778
2017-11-04,1.7169084357818292
2017-11-05,1.7140893518907465
2017-11-06,1.624268391721975
2017-11-07,1.6485199809571818
2017-11-08,1.7042855675973378
2017-11-09,1.6522421985120463
2017-11-10,1.5185200743043303
2017-11-11,1.4573940276494255
2017-11-12,1.3561077039401832
2017-11-13,1.5089543252401356
2017-11-14,1.5343914232639764
2017-11-15,1.689597393747608
2017-11-16,1.835321627600885
2017-11-17,1.7967435847172049
2017-11-18,1.8113874186712966
2017-11-19,1.8758109533544298
2017-11-20,1.9164169630438639
2017-11-21,1.8948327685830837
2017-11-22,1.9149980863834515
2017-11-23,1.8716079979837015
2017-11-24,1.8991477405322654
2017-11-25,2.0303028181504197
2017-11-26,2.130186600950274
2017-11-27,2.2519999626611407
2017-11-28,2.309595153416039
2017-11-29,2.2608399376441044
2017-11-30,2.2960971557123786
2017-12-01,2.5164034277073006
2017-12-02,2.5413784573450204
2017-12-03,2.6056479692327796
2017-12-04,2.70216658732159
2017-12-05,2.7304017661280535
2017-12-06,3.16214633099032
2017-12-07,3.87367330364894
2017-12-08,3.7058818038403016
2017-12-09,3.4202558645346177
2017-12-10,3.477176622140077
2017-12-11,3.871099256023225
2017-12-12,3.8155623698974117
2017-12-13,3.7416547649052063
2017-12-14,3.8120595181420183
2017-12-15,4.093232798454172
2017-12-16,4.4579471095055405
2017-12-17,4.40132272909724
2017-12-18,4.400442932220636
2017-12-19,4.036144015981032
2017-12-20,3.8479981703958854
2017-12-21,3.6154844250282374
2017-12-22,3.110002613720164
2017-12-23,3.103792694652142
2017-12-24,3.150466269007813
2017-12-25,3.196985820568111
2017-12-26,3.6613108740093536
2017-12-27,3.607864964014674
2017-12-28,3.309648828026548
2017-12-29,3.3555732915138106
2017-12-30,2.9030986586014733
2017-12-31,3.2009577417457784
2018-01-01,3.1224621243944104
2018-01-02,3.424699188813278
2018-01-03,3.481734296675908
2018-01-04,3.5144127997610317
2018-01-05,3.95801011883092
2018-01-06,3.983540564003473
2018-01-07,3.7688981302566114
2018-01-08,3.4777740438918294
2018-01-09,3.3604973536083342
2018-01-10,3.478835867708421
2018-01-11,3.089505913541871
2018-01-12,3.2064768919133364
2018-01-13,3.3161574579704465
2018-01-14,3.1446297385346367
2018-01-15,3.159784648127923
2018-01-16,2.543709802384086
2018-01-17,2.564430535719287
2018-01-18,2.5581716093981908
2018-01-19,2.6778916612992054
2018-01-20,2.987094756690657
2018-01-21,2.690731561604451
2018-01-22,2.511049968728705
2018-01-23,2.5201816535513926
2018-01-24,2.648723011005629
2018-01-25,2.6079489764485144
2018-01-26,2.5878163301501957
2018-01-27,2.6816302146050948
2018-01-28,2.772398648333287
2018-01-29,2.6256219253782893
2018-01-30,2.389105921009643
2018-01-31,2.400211898027575
2018-02-01,2.1527066005768853
2018-02-02,2.070680127325511
2018-02-03,2.146975085646009
2018-02-04,1.9100716906102104
2018-02-05,1.6195706964630765
2018-02-06,1.7857636263500332
2018-02-07,1.7733624576437312
2018-02-08,1.816540181280163
2018-02-09,2.026547929093506
2018-02-10,1.991556750399059
